FTSE:2777.33:Moving down:-1.21:33330.19:29.62:30.05
FTSE:2775.93:Moving down:-1.40:33330.19:29.62:30.05
FTSE:2775.03:Moving down:-0.90:33330.19:29.62:30.05
FTSE:2772.89:Moving down:-2.14:33330.19:29.62:30.05
FTSE:2771.12:Moving down:-1.77:33330.19:29.62:30.05
FTSE:2769.88:Moving down:-1.24:33330.19:29.62:30.05
FTSE:2766.09:Moving down:-3.79:33330.19:29.62:30.05
FTSE:2764.27:Moving down:-1.82:33330.19:29.62:30.05
FTSE:2765.04:Moving up:0.77:33330.19:29.62:30.05
FTSE:2764.62:Moving down:-0.42:33330.19:29.62:30.05
FTSE:2764.99:Moving up:0.37:33330.19:29.62:30.05
FTSE:2765.19:Moving up:0.20:33330.19:29.62:30.05
FTSE:2764.61:Moving down:-0.58:33330.19:29.62:30.05
FTSE:2765.23:Moving up:0.62:33330.19:29.62:30.05
FTSE:2766.49:Moving up:1.26:33330.19:29.62:30.05
FTSE:2768.33:Moving up:1.84:33330.19:29.62:30.05
FTSE:2768.44:Moving up:0.11:33330.19:29.62:30.05
FTSE:2764.21:Moving down:-4.23:33330.19:29.62:30.05
FTSE:2764.37:Moving up:0.16:33330.19:29.62:30.05
FTSE:2765.01:Moving up:0.64:33330.19:29.62:30.05
FTSE:2766.39:Moving up:1.38:33330.19:29.62:30.05
FTSE:2768.10:Moving up:1.71:33330.19:29.62:30.05
FTSE:2768.34:Moving up:0.24:33330.19:29.62:30.05
FTSE:2768.10:Moving down:-0.24:33330.19:29.62:30.05
FTSE:2768.34:Moving up:0.24:33330.19:29.62:30.05
FTSE:2784.85:Moving up:16.51:33330.19:29.62:30.05
FTSE:2784.09:Moving down:-0.76:33330.19:29.62:30.05
FTSE:2785.17:Moving up:1.08:33330.19:29.62:30.05
FTSE:2785.85:Moving up:0.68:33330.19:29.62:30.05
FTSE:2786.25:Moving up:0.40:33330.19:29.62:30.05
FTSE:2784.79:Moving down:-1.46:33330.19:29.62:30.05
FTSE:2786.73:Moving up:1.94:33330.19:29.62:30.05
FTSE:2786.84:Moving up:0.11:33330.19:29.62:30.05
FTSE::Moving down:-2786.84:33330.19:29.62:30.05
FTSE:2786.43:Moving up:2786.43:33330.19:29.62:30.05
FTSE:2785.57:Moving down:-0.86:33330.19:29.62:30.05
FTSE:2785.45:Moving down:-0.12:33330.19:29.62:30.05
FTSE:2785.45:Moving up:2785.45:33330.19:29.62:30.05
FTSE:2784.95:Moving down:-0.50:33330.19:29.62:30.05
FTSE:2785.46:Moving up:0.51:33330.19:29.62:30.05
FTSE:2785.41:Moving down:-0.05:33330.19:29.62:30.05
FTSE:2785.31:Moving down:-0.10:33330.19:29.62:30.05
FTSE:2785.66:Moving up:0.35:33330.19:29.62:30.05
FTSE:2785.31:Moving down:-0.35:33330.19:29.62:30.05
FTSE:2785.24:Moving down:-0.07:33330.19:29.62:30.05
FTSE:2779.72:Moving down:-5.52:33330.19:29.62:30.05
FTSE:2780.53:Moving up:0.81:33330.19:29.62:30.05
FTSE:2780.83:Moving up:0.30:33330.19:29.62:30.05
FTSE:2780.05:Moving down:-0.78:33330.19:29.62:30.05
FTSE:2780.61:Moving up:0.56:33330.19:29.62:30.05
FTSE:2781.82:Moving up:1.21:33330.19:29.62:30.05
FTSE:2780.70:Moving down:-1.12:33330.19:29.62:30.05
FTSE:2780.34:Moving down:-0.36:33330.19:29.62:30.05
FTSE:2780.46:Moving up:0.12:33330.19:29.62:30.05
FTSE:2781.13:Moving up:0.67:33330.19:29.62:30.05
FTSE:2782.42:Moving up:1.29:33330.19:29.62:30.05
FTSE:2784.04:Moving up:1.62:33330.19:29.62:30.05
FTSE:2784.68:Moving up:0.64:33330.19:29.62:30.05
FTSE:2784.88:Moving up:0.20:33330.19:29.62:30.05
FTSE:2785.13:Moving up:0.25:33330.19:29.62:30.05
FTSE:2785.71:Moving up:0.58:33330.19:29.62:30.05
FTSE:2785.32:Moving down:-0.39:33330.19:29.62:30.05
